annotation_level,parent_cell_type,candidate_cell_type,plot_panel,marker_gene,marker_rank,marker_role,expected_in_nsg,reference,pmid,doi,marker_rationale,caveat
broad,Vascular,Blood endothelial,broad,Pecam1,1,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Mouse mammary endothelial marker","Also present on some hematopoietic cells"
broad,Vascular,Blood endothelial,broad,Cdh5,2,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Endothelial adherens-junction marker","Rare epithelial expression has been reported"
broad,Vascular,Blood endothelial,broad,Kdr,3,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"VEGF receptor characteristic of vascular endothelium","Expression may fall in quiescent endothelial cells"
broad,Vascular,Blood endothelial,broad,Egfl7,4,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Endothelial-enriched transcript in mouse mammary tissue","Shared across blood and lymphatic endothelium"
broad,Vascular,Blood endothelial,broad,Emcn,5,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Capillary/venous endothelial marker","Not universal across vascular beds"
broad,Vascular,Lymphatic endothelial,broad,Prox1,1,positive,present,"Fujimoto et al. PLOS Biology 2020",32251437,10.1371/journal.pbio.3000704,"Lineage-defining lymphatic endothelial transcription factor","Low RNA abundance can cause dropout"
broad,Vascular,Lymphatic endothelial,broad,Flt4,2,positive,present,"Fujimoto et al. PLOS Biology 2020",32251437,10.1371/journal.pbio.3000704,"VEGFR3 is robustly expressed in mouse lymphatic endothelium","Can occur in angiogenic blood endothelium"
broad,Vascular,Lymphatic endothelial,broad,Lyve1,3,positive,present,"Fujimoto et al. PLOS Biology 2020",32251437,10.1371/journal.pbio.3000704,"Capillary lymphatic endothelial marker","Also expressed by selected macrophages"
broad,Vascular,Lymphatic endothelial,broad,Ccl21a,4,positive,present,"Fujimoto et al. PLOS Biology 2020",32251437,10.1371/journal.pbio.3000704,"Peripheral capillary lymphatic endothelial chemokine","Not universal across all lymphatic segments"
broad,Vascular,Lymphatic endothelial,broad,Pdpn,5,positive,present,"Fujimoto et al. PLOS Biology 2020",32251437,10.1371/journal.pbio.3000704,"Canonical lymphatic endothelial surface marker","Also expressed by fibroblasts and other stromal cells"
broad,Stromal,Pericyte,broad,Cspg4,1,positive,present,"Baek et al. Frontiers in Cardiovascular Medicine 2022",35722109,10.3389/fcvm.2022.876591,"Canonical mouse pericyte marker","Also expressed by some glial and mesenchymal cells"
broad,Stromal,Pericyte,broad,Pdgfrb,2,positive,present,"Baek et al. Frontiers in Cardiovascular Medicine 2022",35722109,10.3389/fcvm.2022.876591,"Canonical mouse pericyte receptor","Also marks vascular smooth muscle and activated fibroblasts"
broad,Stromal,Pericyte,broad,Rgs5,3,positive,present,"Baek et al. Frontiers in Cardiovascular Medicine 2022",35722109,10.3389/fcvm.2022.876591,"Perivascular mural-cell marker","Shared with smooth muscle cells"
broad,Stromal,Pericyte,broad,Abcc9,4,positive,present,"Baek et al. Frontiers in Cardiovascular Medicine 2022",35722109,10.3389/fcvm.2022.876591,"Pericyte-enriched ion-channel regulator","Tissue-dependent expression"
broad,Stromal,Pericyte,broad,Kcnj8,5,positive,present,"Baek et al. Frontiers in Cardiovascular Medicine 2022",35722109,10.3389/fcvm.2022.876591,"Pericyte-enriched potassium channel","Tissue-dependent expression"
broad,Stromal,Smooth muscle,broad,Acta2,1,positive,present,"Muhl et al. Developmental Cell 2022",36283392,10.1016/j.devcel.2022.09.015,"Canonical contractile smooth-muscle marker","Also induced in myofibroblasts"
broad,Stromal,Smooth muscle,broad,Tagln,2,positive,present,"Muhl et al. Developmental Cell 2022",36283392,10.1016/j.devcel.2022.09.015,"Contractile smooth-muscle marker","Also induced in myofibroblasts"
broad,Stromal,Smooth muscle,broad,Cnn1,3,positive,present,"Muhl et al. Developmental Cell 2022",36283392,10.1016/j.devcel.2022.09.015,"Differentiated smooth-muscle marker","Expression declines in modulated smooth muscle"
broad,Stromal,Smooth muscle,broad,Myh11,4,positive,present,"Muhl et al. Developmental Cell 2022",36283392,10.1016/j.devcel.2022.09.015,"Highly specific mature smooth-muscle contractile gene","Low in dedifferentiated smooth muscle"
broad,Stromal,Smooth muscle,broad,Myl9,5,positive,present,"Muhl et al. Developmental Cell 2022",36283392,10.1016/j.devcel.2022.09.015,"Smooth-muscle contractile machinery","Also expressed in other contractile cells"
broad,Epithelial,Mammary epithelial,broad,Epcam,1,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Established mouse mammary epithelial marker","May be reduced during epithelial-mesenchymal transition"
broad,Epithelial,Mammary epithelial,broad,Krt8,2,positive,present,"Bach et al. Nature Communications 2017",29225342,10.1038/s41467-017-02001-5,"Mouse mammary luminal keratin","Not expected in basal-only epithelium"
broad,Epithelial,Mammary epithelial,broad,Krt18,3,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Mouse mammary luminal epithelial marker","Not expected in basal-only epithelium"
broad,Epithelial,Mammary epithelial,broad,Krt19,4,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Mouse mammary luminal epithelial marker","Can vary by luminal differentiation state"
broad,Epithelial,Mammary epithelial,broad,Krt14,5,positive,present,"Kanaya et al. Communications Biology 2019",31701034,10.1038/s42003-019-0618-9,"Mouse mammary basal epithelial marker","Luminal and basal keratins should be reviewed separately"
broad,Stromal,Adipocyte,broad,Adipoq,1,positive,present,"Yoshitake et al. Frontiers in Cell and Developmental Biology 2022",35300413,10.3389/fcell.2022.850568,"Mature mouse mammary adipocyte marker","Adipocytes are often under-recovered by droplet scRNA-seq"
broad,Stromal,Adipocyte,broad,Plin1,2,positive,present,"Yoshitake et al. Frontiers in Cell and Developmental Biology 2022",35300413,10.3389/fcell.2022.850568,"Mature adipocyte lipid-droplet marker","Low recovery can cause dropout"
broad,Stromal,Adipocyte,broad,Lep,3,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Mature adipocyte hormone transcript","Variable with adipocyte state"
broad,Stromal,Adipocyte,broad,Cidec,4,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Adipocyte lipid-storage marker","Can be low in stressed adipocytes"
broad,Stromal,Adipocyte,broad,Pparg,5,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Adipocyte lineage transcription factor","Also involved in macrophage lipid programs"
broad,Erythroid,Erythroid,broad,Hba-a1,1,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Mouse alpha-globin transcript","Ambient RNA can distribute globin reads"
broad,Erythroid,Erythroid,broad,Hbb-bs,2,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Mouse beta-globin transcript","Ambient RNA can distribute globin reads"
broad,Erythroid,Erythroid,broad,Alas2,3,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Erythroid heme-biosynthesis marker","More informative than globin alone"
broad,Erythroid,Erythroid,broad,Slc4a1,4,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Erythroid membrane marker","Low in early erythroid progenitors"
broad,Erythroid,Erythroid,broad,Gypa,5,positive,present,"Tabula Muris Consortium Nature 2018",30283141,10.1038/s41586-018-0590-4,"Canonical erythroid surface marker","May be absent from early progenitors"
