cancer_type	drug	metric	n	pearson_r	pearson_p	pearson_ci_low	pearson_ci_high	pearson_fdr	spearman_rho	spearman_p	spearman_ci_low	spearman_ci_high	spearman_ci_method	spearman_fdr	rank_by_pearson_desc	rank_by_pearson_asc	rank_by_spearman_desc	rank_by_spearman_asc	response_direction_note
BRCA	Gemcitabine	LN_IC50	43	0.270113973534632	0.0798101920815537	-0.0328988769527707	0.527651048883454	0.728418568469928	0.207037148897614	0.182822743337871	-0.0994990851606367	0.477682278024436	approximate_fisher_transform	0.660937820498625	22	255	76	201	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
BRCA	Gemcitabine	AUC	43	0.18560939427279	0.233400231581647	-0.121508137237458	0.460293441410674	0.87955681194003	0.125792811839323	0.421528605081307	-0.181410225770845	0.410627623159594	approximate_fisher_transform	0.861791814832894	24	253	44	233	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
CESC	Gemcitabine	Z_SCORE	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
CESC	Gemcitabine	LN_IC50	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
CESC	Gemcitabine	AUC	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
CLL	Gemcitabine	Z_SCORE	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
CLL	Gemcitabine	LN_IC50	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
CLL	Gemcitabine	AUC	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
COREAD	Gemcitabine	Z_SCORE	39	0.190906163089888	0.244357340008837	-0.132597804078785	0.477652237915298	0.996687287266526	0.218421052631579	0.181596771129021	-0.104288637194811	0.499518330426208	approximate_fisher_transform	0.970976084112208	35	239	27	247	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
COREAD	Gemcitabine	LN_IC50	39	0.190906167928993	0.244357327827092	-0.132597799144948	0.477652241791627	0.979167051250977	0.218421052631579	0.181596771129021	-0.104288637194811	0.499518330426208	approximate_fisher_transform	0.954272208015669	35	239	27	247	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
COREAD	Gemcitabine	AUC	39	0.0980575436069734	0.552592675455673	-0.224402249981806	0.4011630796801	0.914289699390295	0.169838056680162	0.301293516770872	-0.153933336160409	0.460674040992221	approximate_fisher_transform	0.877284686050902	56	218	24	250	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
DLBC	Gemcitabine	Z_SCORE	19	-0.153642674703757	0.530008391495348	-0.568199622244281	0.323115529286376	0.998422092289431	-0.0964912280701754	0.694348438958583	-0.527584729258776	0.374122195298882	approximate_fisher_transform	0.996757397280061	147	122	156	113	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
DLBC	Gemcitabine	LN_IC50	19	-0.153642865305104	0.530007874965525	-0.568199754430209	0.323115354457464	0.998422246495686	-0.0964912280701754	0.694348438958583	-0.527584729258776	0.374122195298882	approximate_fisher_transform	0.996757397280061	147	122	155	114	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
DLBC	Gemcitabine	AUC	19	-0.0989909087937847	0.686807979382704	-0.529397129106299	0.371941846362671	0.987176835501973	-0.00701754385964912	0.9772535735988	-0.459768472014063	0.44862888610151	approximate_fisher_transform	0.990272385227047	150	119	168	101	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
ESCA	Gemcitabine	Z_SCORE	23	-0.267708851049772	0.216836746255255	-0.612339282760154	0.162415953471412	0.994411425936406	-0.283596837944664	0.189738530532592	-0.622978776468175	0.145637173352449	approximate_fisher_transform	0.989618820958067	256	16	259	13	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
ESCA	Gemcitabine	LN_IC50	23	-0.26770886650593	0.216836718702539	-0.612339293166697	0.162415937261219	0.994363950574691	-0.283596837944664	0.189738530532592	-0.622978776468175	0.145637173352449	approximate_fisher_transform	0.989618820958067	255	17	258	14	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
ESCA	Gemcitabine	AUC	23	-0.37778408378902	0.0755208594315245	-0.683542658539234	0.040766371314841	0.971487043992893	-0.372529644268775	0.0800145008808513	-0.680275401007597	0.0468777679546199	approximate_fisher_transform	0.989063745588982	255	17	263	9	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
GBM	Gemcitabine	Z_SCORE	22	0.433351084165878	0.0439329983804531	0.0143676760399073	0.722885173150864	0.930256635907078	0.288537549407115	0.192824610051686	-0.151509043399448	0.633131219630821	approximate_fisher_transform	0.98042139126025	13	258	38	233	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
GBM	Gemcitabine	LN_IC50	22	0.433350992031646	0.0439330483205774	0.0143675626264219	0.722885118991882	0.920361204269152	0.288537549407115	0.192824610051686	-0.151509043399448	0.633131219630821	approximate_fisher_transform	0.984506480390501	13	258	38	233	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
GBM	Gemcitabine	AUC	22	0.334655068711063	0.127925917213147	-0.101237292319812	0.662753384685038	0.930464330696788	0.278373800112931	0.209678981094804	-0.162288722039871	0.626463165956946	approximate_fisher_transform	0.98973772736273	11	260	11	260	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
HNSC	Gemcitabine	Z_SCORE	14	-0.0546839617550692	0.852703936478767	-0.568761315828162	0.490115854914364	0.988215204794171	0.0461538461538462	0.875502537632114	-0.496594381836827	0.562955142175988	approximate_fisher_transform	0.944750168304676	211	59	209	61	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
HNSC	Gemcitabine	LN_IC50	14	-0.0546841135896643	0.8527035315666	-0.568761418853944	0.490115739206481	0.984354722463483	0.0461538461538462	0.875502537632114	-0.496594381836827	0.562955142175988	approximate_fisher_transform	0.945824026598549	211	59	211	59	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
HNSC	Gemcitabine	AUC	14	-0.0703371754305062	0.811155769917732	-0.579297602195383	0.47808417190953	0.982314063549222	0.0637362637362637	0.828626422928612	-0.483191440999026	0.574882395285804	approximate_fisher_transform	0.961877336867207	181	89	148	121	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
KIRC	Gemcitabine	Z_SCORE	13	-0.290491167608698	0.335633063753214	-0.725375504124194	0.310132874614581	0.78779931834941	-0.274725274725275	0.363674981640178	-0.717160635333229	0.32554650930078	approximate_fisher_transform	0.71759836137228	154	116	133	137	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
KIRC	Gemcitabine	LN_IC50	13	-0.290491070893743	0.335633232013268	-0.725375454074237	0.310132970083401	0.781288584882545	-0.274725274725275	0.363674981640178	-0.717160635333229	0.32554650930078	approximate_fisher_transform	0.722874819911782	154	116	134	136	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
KIRC	Gemcitabine	AUC	13	-0.301027231566122	0.3175797847361	-0.730800764125704	0.29966018170797	0.838535996095774	-0.357142857142857	0.230929862302034	-0.758814141560028	0.241342561508531	approximate_fisher_transform	0.817370170516409	232	38	242	26	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
LAML	Gemcitabine	Z_SCORE	19	-0.349111912174874	0.142922606788321	-0.693373112524045	0.124903269789267	0.579801363328463	-0.459649122807018	0.0477077031657859	-0.756022945234661	-0.00686622101812196	approximate_fisher_transform	0.321589540966817	204	67	214	57	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LAML	Gemcitabine	LN_IC50	19	-0.349112019391685	0.142922475658489	-0.693373175921447	0.124903149596081	0.571274474182575	-0.459649122807018	0.0477077031657859	-0.756022945234661	-0.00686622101812196	approximate_fisher_transform	0.314747210307948	203	68	214	57	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
LAML	Gemcitabine	AUC	19	-0.664116432810498	0.00192847719305346	-0.859161499265753	-0.300574927308898	0.104137768424887	-0.719298245614035	0.000518354289581983	-0.884525188673595	-0.393715340610302	approximate_fisher_transform	0.111582854507634	264	7	266	5	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
LCML	Gemcitabine	Z_SCORE	9										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LCML	Gemcitabine	LN_IC50	9										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
LCML	Gemcitabine	AUC	9										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
LGG	Gemcitabine	Z_SCORE	10	-0.588197311064696	0.0736826132267847	-0.888698874071418	0.0657962792627043	0.49950618206512	-0.466666666666667	0.173938597165066	-0.847330527792628	0.230776896209088	approximate_fisher_transform	0.54857557567444	111	13	86	38	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LGG	Gemcitabine	LN_IC50	10	-0.588197150815364	0.0736827112943471	-0.888698822564578	0.0657965232225311	0.499506005656922	-0.466666666666667	0.173938597165066	-0.847330527792628	0.230776896209088	approximate_fisher_transform	0.534861186282579	111	13	85	39	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
LGG	Gemcitabine	AUC	10	-0.542410010972054	0.105257407823964	-0.873665803016036	0.132450048235548	0.82623301417236	-0.490909090909091	0.149655673420837	-0.855969242569953	0.200787497323234	approximate_fisher_transform	0.857044148389081	119	5	118	5	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
LIHC	Gemcitabine	Z_SCORE	12	-0.165338762766294	0.607582237584478	-0.675174315559146	0.451394895867559	0.992103240001164	-0.027972027972028	0.931234351201881	-0.59237209952348	0.554844795109094	approximate_fisher_transform	0.983877963405878	158	112	110	158	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LIHC	Gemcitabine	LN_IC50	12	-0.165338837595398	0.607582072760323	-0.675174357421	0.451394834610863	0.992102992102483	-0.027972027972028	0.931234351201881	-0.59237209952348	0.554844795109094	approximate_fisher_transform	0.983877963405878	157	113	110	158	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
LIHC	Gemcitabine	AUC	12	-0.115310204437552	0.721199834285432	-0.646433009823265	0.491090143983476	0.990828930531095	-0.0629370629370629	0.845930921228779	-0.614645615263104	0.530120663627207	approximate_fisher_transform	0.991388482210503	171	99	145	122	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
LUAD	Gemcitabine	Z_SCORE	54	-0.0311634228700569	0.822991278817175	-0.29645029593162	0.238587989074402	0.994840289495455	-0.035410710882409	0.799336809455956	-0.300328306106261	0.234578743178514	approximate_fisher_transform	0.959019805280766	226	47	232	41	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LUAD	Gemcitabine	LN_IC50	54	-0.0311634462485233	0.822991148163818	-0.29645031727625	0.238587967005304	0.994840785529649	-0.035410710882409	0.799336809455956	-0.300328306106261	0.234578743178514	approximate_fisher_transform	0.958498560640584	226	47	232	41	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
LUAD	Gemcitabine	AUC	54	-0.0246251106917705	0.85970521973984	-0.290470409086719	0.244749229723055	0.993945401492702	-0.0331999237659615	0.811628499283027	-0.298313218612951	0.236669250423821	approximate_fisher_transform	0.994559123281236	175	98	142	131	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
LUSC	Gemcitabine	Z_SCORE	13	-0.40107666105185	0.174383595195759	-0.779747609024104	0.192434153760317	0.73820961338436	-0.368131868131868	0.215857180649381	-0.764130309308987	0.229390517886674	approximate_fisher_transform	0.750899109483469	210	60	192	78	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
LUSC	Gemcitabine	LN_IC50	13	-0.401076632921447	0.174383628248283	-0.779747595883302	0.192434186041925	0.738210070254192	-0.368131868131868	0.215857180649381	-0.764130309308987	0.229390517886674	approximate_fisher_transform	0.744430533265174	210	60	191	79	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
LUSC	Gemcitabine	AUC	13	-0.501325543813223	0.0809283496166891	-0.824550913719162	0.0686119601086717	0.750680208513426	-0.368131868131868	0.215857180649381	-0.764130309308987	0.229390517886674	approximate_fisher_transform	0.839461256206042	240	30	205	64	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
MB	Gemcitabine	Z_SCORE	3										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
MB	Gemcitabine	LN_IC50	3										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
MB	Gemcitabine	AUC	3										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
MESO	Gemcitabine	Z_SCORE	6										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
MESO	Gemcitabine	LN_IC50	6										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
MESO	Gemcitabine	AUC	6										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
MM	Gemcitabine	Z_SCORE	14	0.0920102966331428	0.754404164803407	-0.461078494262018	0.593610462125688	0.998807562471417	0.010989010989011	0.970258390096969	-0.522645646804009	0.538436889410637	approximate_fisher_transform	0.993171082329898	59	211	80	186	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
MM	Gemcitabine	LN_IC50	14	0.0920102337427488	0.754404327964228	-0.461078544205142	0.593610421048438	0.99880729706412	0.010989010989011	0.970258390096969	-0.522645646804009	0.538436889410637	approximate_fisher_transform	0.993171082329898	60	210	81	185	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
MM	Gemcitabine	AUC	14	0.0701607002806662	0.811621821800212	-0.478220974675997	0.579179755976775	0.966828920285347	-0.0285714285714286	0.922761376569875	-0.550808673427061	0.50974340104218	approximate_fisher_transform	0.976188106031775	82	188	104	165	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
NB	Gemcitabine	Z_SCORE	12	-0.299177943118057	0.344827366813211	-0.745139988768501	0.331671187357649	0.95968423324985	-0.244755244755245	0.443261936450183	-0.71783280424941	0.382945828682895	approximate_fisher_transform	0.7640436009865	97	35	63	69	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
NB	Gemcitabine	LN_IC50	12	-0.299177881151371	0.344827471613986	-0.745139958498401	0.331671247929249	0.979849713255639	-0.244755244755245	0.443261936450183	-0.71783280424941	0.382945828682895	approximate_fisher_transform	0.7640436009865	97	35	63	69	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
NB	Gemcitabine	AUC	12	-0.215838575284941	0.500475189489764	-0.702697035109074	0.40868716469799	0.969731465473536	-0.335664335664336	0.286122902914988	-0.762655315414018	0.295092188966478	approximate_fisher_transform	0.986371060049036	104	28	117	15	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
OTHER	Gemcitabine	Z_SCORE	1										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
OTHER	Gemcitabine	LN_IC50	1										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
OTHER	Gemcitabine	AUC	1										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
OV	Gemcitabine	Z_SCORE	24	-0.0679760465968516	0.752305373347312	-0.458792075019184	0.344877661657277	0.995174760569216	0.0321739130434783	0.881361712028487	-0.37611094439974	0.429996254866429	approximate_fisher_transform	0.993575668047497	127	145	80	192	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
OV	Gemcitabine	LN_IC50	24	-0.0679760967070398	0.752305196324264	-0.458792114765326	0.344877617302271	0.99275735416463	0.0321739130434783	0.881361712028487	-0.37611094439974	0.429996254866429	approximate_fisher_transform	0.997995376803798	127	145	80	192	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
OV	Gemcitabine	AUC	24	0.0885222837789828	0.680832659872062	-0.326534854370078	0.474958419311568	0.995144522646857	0.0652173913043478	0.762068939878124	-0.347323604253047	0.456607827013724	approximate_fisher_transform	0.99356504210806	58	214	68	203	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
PAAD	Gemcitabine	Z_SCORE	27	-0.168176174451805	0.401741461341267	-0.515260222718239	0.226300496596744	0.991307789903451	-0.288766788766789	0.144068827404171	-0.602653517547505	0.102501721967223	approximate_fisher_transform	0.992120607487507	199	74	249	24	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
PAAD	Gemcitabine	LN_IC50	27	-0.168176123625457	0.401741605673647	-0.515260184299324	0.226300546223789	0.987509811916725	-0.288766788766789	0.144068827404171	-0.602653517547505	0.102501721967223	approximate_fisher_transform	0.992120607487507	199	74	249	24	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
PAAD	Gemcitabine	AUC	27	-0.188618786615307	0.346085069563015	-0.530600490855754	0.206173216255605	0.964995172958845	-0.263125763125763	0.184821531708921	-0.58468185604661	0.129881776741591	approximate_fisher_transform	0.956125130317756	261	12	266	7	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
PRAD	Gemcitabine	Z_SCORE	5										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
PRAD	Gemcitabine	LN_IC50	5										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
PRAD	Gemcitabine	AUC	5										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
SCLC	Gemcitabine	Z_SCORE	40	-0.1759476452068	0.277477333467461	-0.462128061779819	0.143422601377959	0.997291275014984	-0.14953095684803	0.357092011706057	-0.440525494266966	0.169897761467117	approximate_fisher_transform	0.984624724811976	264	23	265	22	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
SCLC	Gemcitabine	LN_IC50	40	-0.175947683583778	0.277477227000228	-0.462128092925103	0.143422562589602	0.997290925887163	-0.14953095684803	0.357092011706057	-0.440525494266966	0.169897761467117	approximate_fisher_transform	0.984624724811976	263	24	265	22	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
SCLC	Gemcitabine	AUC	40	-0.245123386786408	0.127383542817999	-0.517144498911268	0.0718741443975226	0.997285589803076	-0.274671669793621	0.0862984112019563	-0.53998310914089	0.0402904479506751	approximate_fisher_transform	0.976269525699393	265	22	277	10	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
SKCM	Gemcitabine	Z_SCORE	34	0.166733923594717	0.345950875668315	-0.181675298430767	0.477950979667527	0.745942083373438	0.159969442322383	0.36614200952905	-0.188393526589901	0.472575886432453	approximate_fisher_transform	0.744553986306517	18	269	23	264	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
SKCM	Gemcitabine	LN_IC50	34	0.16673409168513	0.345950382496401	-0.181675131240396	0.477951113068411	0.732170898567033	0.159969442322383	0.36614200952905	-0.188393526589901	0.472575886432453	approximate_fisher_transform	0.734140643840692	18	269	23	264	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
SKCM	Gemcitabine	AUC	34	0.00782354608741865	0.964973767633254	-0.331218441276286	0.345076290964816	0.988812208869622	0.014514896867838	0.935064931322743	-0.325253041791911	0.350963610281416	approximate_fisher_transform	0.990825640619955	93	194	90	197	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
STAD	Gemcitabine	Z_SCORE	19	0.102271655045397	0.676954291236752	-0.369082524212172	0.531778380990081	0.955159523243812	0.0526315789473684	0.830556012313612	-0.411420320595624	0.495014140214084	approximate_fisher_transform	0.982381349145374	120	151	135	136	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
STAD	Gemcitabine	LN_IC50	19	0.102271688577371	0.67695419077692	-0.369082494941834	0.531778405293811	0.94703007702557	0.0526315789473684	0.830556012313612	-0.411420320595624	0.495014140214084	approximate_fisher_transform	0.978631802011232	121	150	133	138	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
STAD	Gemcitabine	AUC	19	0.0375052093740195	0.878843319819549	-0.423925742939247	0.483478338623138	0.972379996093264	0.0859649122807018	0.726397043979399	-0.383214783824237	0.519881693044466	approximate_fisher_transform	0.979446463418002	131	140	102	169	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
THCA	Gemcitabine	Z_SCORE	11	0.426770227357296	0.190522019423892	-0.23267047417875	0.817386983491183	0.978600513479135	0.545454545454545	0.0826509573441751	-0.0808997434130824	0.862967107017078	approximate_fisher_transform	0.683985265188208	7	83	9	81	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
THCA	Gemcitabine	LN_IC50	11	0.426770374987236	0.190521849370189	-0.232670303444513	0.817387043397245	0.971993788200757	0.545454545454545	0.0826509573441751	-0.0808997434130824	0.862967107017078	approximate_fisher_transform	0.683985265188208	7	83	9	81	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
