drug	drug_key	drug_id_list	approved_final_category_id	approved_final_display_label	include_in_enrichment	exclusion_reason_code	exclusion_reason	rollup_resolution_status	rollup_resolution_reason	curation_status	primary_evidence_source	evidence_summary	curator	curation_date	curation_notes
AGI-6780	AGI-6780	1634	METABOLISM	Metabolism	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Metabolism; target: IDH2 R140Q mutant	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AGK2	AGK2	2039	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone acetylation; target: "BAZ2A, BAZ2B"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Alisertib	ALISERTIB	1051	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Mitosis; target: AURKA	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Alpelisib	ALPELISIB	1560	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
alpha-lipoic acid	ALPHA-LIPOIC ACID	2498	METABOLISM	Metabolism	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Metabolism; target: Metabolism	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AMG-319	AMG-319	2045	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: PI3K (beta sparing)	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)	2438	METABOLISM	Metabolism	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: anti-oxidant proteins	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AT13148	AT13148	2170	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: AKT1	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Avagacestat	AVAGACESTAT	1072	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: "Amyloid beta20, Amyloid beta40"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Axitinib	AXITINIB	1021	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: RTK signaling; target: "PDGFR, KIT, VEGFR"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZ6102	AZ6102	2109	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: WNT signaling; target: "TNKS1, TNKS2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZ960	AZ960	1250	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: "Other, kinases"; target: "JAK2, JAK3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD1208	AZD1208	1449	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: "Other, kinases"; target: "PIM1, PIM2, PIM3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD1332	AZD1332	1463	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: RTK signaling; target: "NTRK1, NTRK2, NTRK3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD2014	AZD2014	1441	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: "mTORC1, mTORC2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD3759	AZD3759	1915	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: EGFR signaling; target: EGFR	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD4547	AZD4547	1786	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: RTK signaling; target: "FGFR1, FGFR2, FGFR3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD5153	AZD5153	1706	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin other; target: BRD4	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD5363	AZD5363	1916	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: "Other, kinases"; target: "AKT1, AKT2, AKT3, ROCK2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD5438	AZD5438	1401	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cell cycle; target: CDK2	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD5582	AZD5582	1617	APOPTOSIS	Apoptosis regulation	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Apoptosis regulation; target: "XIAP, cIAP"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD5991	AZD5991	1720	APOPTOSIS	Apoptosis regulation	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Apoptosis regulation; target: MCL1	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD6482	AZD6482	2169	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: PI3Kbeta	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD6738	AZD6738	1917	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Genome integrity; target: ATR	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD7762	AZD7762	1022	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cell cycle; target: "CHEK1, CHEK2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD8055	AZD8055	1059	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: "MTORC1, MTORC2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AZD8186	AZD8186	1918	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: "PI3Kalpha, PI3Kbeta"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BDF00022089a	BDF00022089A	1585	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone acetylation; target: "BRPF1, BRPF2, BRPF3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BDILV000379a	BDILV000379A	1586	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone acetylation; target: "BAZ2A, BAZ2B"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BDOCA000347a	BDOCA000347A	1584	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone acetylation; target: "BRPF1, BRPF2, BRPF3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BDP-00009066	BDP-00009066	1866	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cytoskeleton; target: MRCKB_HUMAN	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BEN	BEN	1847	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BI-2536	BI-2536	1086	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cell cycle; target: "PLK1, PLK2, PLK3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BIBR-1532	BIBR-1532	2043	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Genome integrity; target: TERT	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Bicalutamide	BICALUTAMIDE	1502	HORMONE_RELATED	Hormone related	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Hormone-related; target: AR	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Bleomycin	BLEOMYCIN	1812	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: DNA replication; target: dsDNA break induction	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Bleomycin (50 uM)	BLEOMYCIN (50 UM)	1378	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: DNA replication; target: dsDNA break induction	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BMS-345541	BMS-345541	1249	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: "IKK-1, IKK-2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BMS-536924	BMS-536924	1091	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BMS-754807	BMS-754807	2171	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Bortezomib	BORTEZOMIB	1191	PROTEIN_DEGRADATION	Protein stability and degradation	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Protein stability and degradation; target: Proteasome	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Bosutinib	BOSUTINIB	1019	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: "Other, kinases"; target: "SRC, ABL, TEC"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BPD-00008900	BPD-00008900	1998	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Bromosporine	BROMOSPORINE	1581	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin other; target: "CECR2, BRD2, BRD4, BRD9"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Buparlisib	BUPARLISIB	1873	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: "PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
BX795	BX795	1037	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: "Other, kinases"; target: "TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Camptothecin	CAMPTOTHECIN	1003	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: DNA replication; target: TOP1	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CCT-018159	CCT-018159	1170	PROTEIN_DEGRADATION	Protein stability and degradation	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Protein stability and degradation; target: HSP90	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CCT007093	CCT007093	1067	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cell cycle; target: PPM1D	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CDK9_5038	CDK9_5038	1709	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cell cycle; target: CDK9	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CDK9_5576	CDK9_5576	1708	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Cell cycle; target: CDK9	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Cediranib	CEDIRANIB	1922	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: RTK signaling; target: "VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CHIR-99021	CHIR-99021	2175	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: WNT signaling; target: "GSK3A, GSK3B"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Cisplatin	CISPLATIN	1005	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: DNA replication; target: DNA crosslinker	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CPI-637	CPI-637	2158	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone methylation; target: EP300	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Crizotinib	CRIZOTINIB	1083	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: RTK signaling; target: "MET, ALK, ROS1"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CT7033-2	CT7033-2	2149	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone methylation; target: "KDM4A, KDM4C, KDM4E, KDM3A, KDM6B"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Cyclophosphamide	CYCLOPHOSPHAMIDE	1512	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: DNA replication; target: Alkylating agent	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Cytarabine	CYTARABINE	1006	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: Antimetabolite	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
CZC24832	CZC24832	1615	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: PI3Kgamma	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Dabrafenib	DABRAFENIB	1373	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: ERK MAPK signaling; target: BRAF	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Dacarbazine	DACARBAZINE	1815	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: CP11A	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Dactinomycin	DACTINOMYCIN	1811;1911	OTHER_REVIEWED	Other reviewed	TRUE			resolved_same_category	Multiple GDSC DRUG_ID values share this drug key and resolve to the same category.	approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: RNA polymerase	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
