drug	drug_key	normalized_drug_key	primary_anticancer_class	primary_anticancer_class_slug	secondary_mechanism_note	include_in_enrichment	gdsc_putative_target	gdsc_pathway_name	classification_note	revision_note	source_annotation_used	revision_source_basis	pubchem_query_url	drugbank_query_url	source_workbook	source_workbook_sha256	source_workbook_md5
729189	729189	729189	Other	OTHER	Unclassified GDSC screening compound; manual mechanism lookup recommended	TRUE		Unclassified	Primary class is Other because mechanism is outside the requested anticancer-class ontology or is unclassified. No GDSC target listed and pathway is unclassified. Broad, ambiguous, mutant-RAS, or unclassified mechanism.	Still labeled Other: not clearly assignable to requested/new categories from available GDSC annotations; manual lookup recommended.	GDSC target=; GDSC pathway=Unclassified; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=729189	https://go.drugbank.com/unearth/q?searcher=drugs&query=729189	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
741909	741909	741909	Other	OTHER	Unclassified GDSC screening compound; manual mechanism lookup recommended	TRUE		Unclassified	Primary class is Other because mechanism is outside the requested anticancer-class ontology or is unclassified. No GDSC target listed and pathway is unclassified. Broad, ambiguous, mutant-RAS, or unclassified mechanism.	Still labeled Other: not clearly assignable to requested/new categories from available GDSC annotations; manual lookup recommended.	GDSC target=; GDSC pathway=Unclassified; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=741909	https://go.drugbank.com/unearth/q?searcher=drugs&query=741909	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
743380	743380	743380	Other	OTHER	Unclassified GDSC screening compound; manual mechanism lookup recommended	TRUE		Unclassified	Primary class is Other because mechanism is outside the requested anticancer-class ontology or is unclassified. No GDSC target listed and pathway is unclassified. Broad, ambiguous, mutant-RAS, or unclassified mechanism.	Still labeled Other: not clearly assignable to requested/new categories from available GDSC annotations; manual lookup recommended.	GDSC target=; GDSC pathway=Unclassified; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=743380	https://go.drugbank.com/unearth/q?searcher=drugs&query=743380	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
765771	765771	765771	Other	OTHER	Unclassified GDSC screening compound; manual mechanism lookup recommended	TRUE		Unclassified	Primary class is Other because mechanism is outside the requested anticancer-class ontology or is unclassified. No GDSC target listed and pathway is unclassified. Broad, ambiguous, mutant-RAS, or unclassified mechanism.	Still labeled Other: not clearly assignable to requested/new categories from available GDSC annotations; manual lookup recommended.	GDSC target=; GDSC pathway=Unclassified; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=765771	https://go.drugbank.com/unearth/q?searcher=drugs&query=765771	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
776928	776928	776928	Other	OTHER	Unclassified GDSC screening compound; manual mechanism lookup recommended	TRUE		Unclassified	Primary class is Other because mechanism is outside the requested anticancer-class ontology or is unclassified. No GDSC target listed and pathway is unclassified. Broad, ambiguous, mutant-RAS, or unclassified mechanism.	Still labeled Other: not clearly assignable to requested/new categories from available GDSC annotations; manual lookup recommended.	GDSC target=; GDSC pathway=Unclassified; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=776928	https://go.drugbank.com/unearth/q?searcher=drugs&query=776928	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
A-366	A-366	A-366	Epigenetic inhibitors	EPIGENETIC_INHIBITORS	Histone methyltransferase/epigenetic writer inhibitor	TRUE	EHMT1, EHMT2	Chromatin histone methylation	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=EHMT1, EHMT2; GDSC pathway=Chromatin histone methylation; prior curated category=Epigenetics and transcription	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=A-366	https://go.drugbank.com/unearth/q?searcher=drugs&query=A-366	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
ABT737	ABT737	ABT737	Proapoptotic agents	PROAPOPTOTIC_AGENTS	BCL2-family apoptosis antagonist/BH3 mimetic-like compound	TRUE	BCL2, BCL-XL,  BCL-W, BCL-B, BFL1	Apoptosis regulation	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=BCL2, BCL-XL,  BCL-W, BCL-B, BFL1; GDSC pathway=Apoptosis regulation; prior curated category=Apoptosis regulation	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=ABT737	https://go.drugbank.com/unearth/q?searcher=drugs&query=ABT737	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
Acetalax	ACETALAX	ACETALAX	Other	OTHER	Unclassified GDSC screening compound; manual mechanism lookup recommended	TRUE		Unclassified	Primary class is Other because mechanism is outside the requested anticancer-class ontology or is unclassified. No GDSC target listed and pathway is unclassified. Broad, ambiguous, mutant-RAS, or unclassified mechanism.	Still labeled Other: not clearly assignable to requested/new categories from available GDSC annotations; manual lookup recommended.	GDSC target=; GDSC pathway=Unclassified; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=Acetalax	https://go.drugbank.com/unearth/q?searcher=drugs&query=Acetalax	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
Afatinib	AFATINIB	AFATINIB	Receptor tyrosine kinase inhibitors	RECEPTOR_TYROSINE_KINASE_INHIBITORS	EGFR/ERBB receptor tyrosine kinase inhibitor	TRUE	EGFR, ERBB2	EGFR signaling	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=EGFR, ERBB2; GDSC pathway=EGFR signaling; prior curated category=Signaling	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=Afatinib	https://go.drugbank.com/unearth/q?searcher=drugs&query=Afatinib	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
Afuresertib	AFURESERTIB	AFURESERTIB	Serine/threonine kinase inhibitors	SERINE_THREONINE_KINASE_INHIBITORS	AKT1/2/3 Ser/Thr kinase inhibitor	TRUE	AKT1, AKT2, AKT3	PI3K/MTOR signaling	Assignment based on GDSC target/pathway annotation and requested ontology.	Reassigned from broad Non-receptor kinase inhibitors to Serine/threonine kinase inhibitors based on target annotation.	GDSC target=AKT1, AKT2, AKT3; GDSC pathway=PI3K/MTOR signaling; prior curated category=Signaling	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=Afuresertib	https://go.drugbank.com/unearth/q?searcher=drugs&query=Afuresertib	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
AGI-5198	AGI-5198	AGI-5198	Metabolic/redox agents	METABOLIC_REDOX_AGENTS	Mutant IDH1-R132H metabolic enzyme inhibitor; oncometabolite/2-HG axis; not an RTK	TRUE	IDH1 (R132H)	Metabolism	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=IDH1 (R132H); GDSC pathway=Metabolism; prior curated category=Metabolism	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=AGI-5198	https://go.drugbank.com/unearth/q?searcher=drugs&query=AGI-5198	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
AGI-6780	AGI-6780	AGI-6780	Metabolic/redox agents	METABOLIC_REDOX_AGENTS	Mutant IDH2-R140Q metabolic enzyme inhibitor; oncometabolite/2-HG axis; not an RTK	TRUE	IDH2 R140Q mutant	Metabolism	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=IDH2 R140Q mutant; GDSC pathway=Metabolism; prior curated category=Metabolism	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=AGI-6780	https://go.drugbank.com/unearth/q?searcher=drugs&query=AGI-6780	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
AGK2	AGK2	AGK2	Epigenetic inhibitors	EPIGENETIC_INHIBITORS	Chromatin reader/writer/remodeling inhibitor	TRUE	BAZ2A, BAZ2B	Chromatin histone acetylation	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=BAZ2A, BAZ2B; GDSC pathway=Chromatin histone acetylation; prior curated category=Epigenetics and transcription	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=AGK2	https://go.drugbank.com/unearth/q?searcher=drugs&query=AGK2	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
Alisertib	ALISERTIB	ALISERTIB	Serine/threonine kinase inhibitors	SERINE_THREONINE_KINASE_INHIBITORS	Aurora kinase/mitotic kinase inhibitor	TRUE	AURKA	Mitosis	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=AURKA; GDSC pathway=Mitosis; prior curated category=Cell cycle and mitosis	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=Alisertib	https://go.drugbank.com/unearth/q?searcher=drugs&query=Alisertib	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
Alpelisib	ALPELISIB	ALPELISIB	Serine/threonine kinase inhibitors	SERINE_THREONINE_KINASE_INHIBITORS	PI3K-alpha lipid kinase inhibitor; grouped with PI3K/AKT/mTOR Ser/Thr signaling axis	TRUE	PI3Kalpha	PI3K/MTOR signaling	Mechanistically reasonable bin, but review before manuscript use because target is PI3K/lipid kinase, mutant-RAS pathway, mixed kinase profile, or cross-class.	Reassigned from broad Non-receptor kinase inhibitors to Serine/threonine kinase inhibitors based on target annotation.	GDSC target=PI3Kalpha; GDSC pathway=PI3K/MTOR signaling; prior curated category=Signaling	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=Alpelisib	https://go.drugbank.com/unearth/q?searcher=drugs&query=Alpelisib	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
alpha-lipoic acid	ALPHA-LIPOIC ACID	ALPHA-LIPOIC ACID	Metabolic/redox agents	METABOLIC_REDOX_AGENTS	Redox-active mitochondrial cofactor/antioxidant; metabolism/redox agent, not anticancer RTK inhibitor	TRUE	Metabolism	Metabolism	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=Metabolism; GDSC pathway=Metabolism; prior curated category=Metabolism	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=alpha-lipoic%20acid	https://go.drugbank.com/unearth/q?searcher=drugs&query=alpha-lipoic%20acid	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
AMG-319	AMG-319	AMG-319	Epigenetic inhibitors	EPIGENETIC_INHIBITORS	BET/bromodomain inhibitor	TRUE	PI3K (beta sparing)	PI3K/MTOR signaling	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=PI3K (beta sparing); GDSC pathway=PI3K/MTOR signaling; prior curated category=Signaling	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=AMG-319	https://go.drugbank.com/unearth/q?searcher=drugs&query=AMG-319	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)	ASCORBATE (VITAMIN C)	Metabolic/redox agents	METABOLIC_REDOX_AGENTS	Ascorbate/vitamin C redox agent; pharmacologic ascorbate can act through oxidative stress biology; not an RTK inhibitor	TRUE	anti-oxidant proteins	Other	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=anti-oxidant proteins; GDSC pathway=Other; prior curated category=Metabolism	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=ascorbate%20%28vitamin%20C%29	https://go.drugbank.com/unearth/q?searcher=drugs&query=ascorbate%20%28vitamin%20C%29	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
AT13148	AT13148	AT13148	Serine/threonine kinase inhibitors	SERINE_THREONINE_KINASE_INHIBITORS	AKT/AGC-family Ser/Thr kinase inhibitor	TRUE	AKT1	PI3K/MTOR signaling	Assignment based on GDSC target/pathway annotation and requested ontology.	Reassigned from broad Non-receptor kinase inhibitors to Serine/threonine kinase inhibitors based on target annotation.	GDSC target=AKT1; GDSC pathway=PI3K/MTOR signaling; prior curated category=Signaling	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=AT13148	https://go.drugbank.com/unearth/q?searcher=drugs&query=AT13148	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
Avagacestat	AVAGACESTAT	AVAGACESTAT	Epigenetic inhibitors	EPIGENETIC_INHIBITORS	BET/bromodomain inhibitor	TRUE	Amyloid beta20, Amyloid beta40	Other	Assignment based on GDSC target/pathway annotation and requested ontology.		GDSC target=Amyloid beta20, Amyloid beta40; GDSC pathway=Other; prior curated category=Other reviewed	GDSC putative target/pathway annotation + curated pharmacology rules; URLs included for manual verification.	https://pubchem.ncbi.nlm.nih.gov/#query=Avagacestat	https://go.drugbank.com/unearth/q?searcher=drugs&query=Avagacestat	/Users/4470246/Repositories/Gemcitabine-model/Code/gdsc_ploidy_analysis/data/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	58f1d714b3821e1f9bc2bf280141b28398b6ae267f95d7a8d29c70c1f503af72	8eee867bb72ce2c21f70eca6ba3038de
