drug	drug_key	primary_anticancer_class	category_label	secondary_mechanism_note
Daporinad	DAPORINAD	Metabolic/redox agents	Metabolic/redox agents	NAMPT inhibitor; NAD salvage/metabolic vulnerability agent; not an RTK inhibitor
Dihydrorotenone	DIHYDROROTENONE	Metabolic/redox agents	Metabolic/redox agents	Mitochondrial complex I inhibitor / rotenone analog; redox stress
Elesclomol	ELESCLOMOL	Metabolic/redox agents	Metabolic/redox agents	Copper-dependent oxidative stress inducer; redox cytotoxic agent
glutathione	GLUTATHIONE	Metabolic/redox agents	Metabolic/redox agents	Major cellular redox buffer/thiol antioxidant; not an RTK inhibitor
IOX2	IOX2	Metabolic/redox agents	Metabolic/redox agents	EGLN1/PHD2 inhibitor; hypoxia/HIF metabolism modulator
N-acetyl cysteine	N-ACETYL CYSTEINE	Metabolic/redox agents	Metabolic/redox agents	Cysteine donor/glutathione precursor and antioxidant/redox modulator; not an RTK inhibitor
Picolinici-acid	PICOLINICI-ACID	Metabolic/redox agents	Metabolic/redox agents	Picolinic acid / metal-chelation and immune-metabolic modulator
Piperlongumine	PIPERLONGUMINE	Metabolic/redox agents	Metabolic/redox agents	Reactive oxygen species inducer / electrophilic stress agent
POMHEX	POMHEX	Metabolic/redox agents	Metabolic/redox agents	Enolase/glycolysis inhibitor prodrug; metabolic vulnerability agent
Sinularin	SINULARIN	Metabolic/redox agents	Metabolic/redox agents	Natural-product cytotoxic agent reported to induce apoptosis/ROS; mechanism variable
AZ960	AZ960	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	JAK2/JAK3 non-receptor tyrosine kinase inhibitor
Bosutinib	BOSUTINIB	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	ABL/SRC/TEC-family non-receptor tyrosine kinase inhibitor
Dasatinib	DASATINIB	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	ABL/SRC-family inhibitor; also inhibits several RTKs
Entospletinib	ENTOSPLETINIB	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	SYK non-receptor tyrosine kinase inhibitor
GSK2256098C	GSK2256098C	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	FAK/PTK2 non-receptor tyrosine kinase inhibitor
GSK2276186C	GSK2276186C	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	JAK1/JAK2/JAK3 non-receptor tyrosine kinase inhibitor
Ibrutinib	IBRUTINIB	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	BTK non-receptor tyrosine kinase inhibitor
JAK_8517	JAK_8517	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	JAK1/JAK2 non-receptor tyrosine kinase inhibitor
JAK1_8709	JAK1_8709	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	JAK1 non-receptor tyrosine kinase inhibitor
Nilotinib	NILOTINIB	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	ABL/BCR-ABL non-receptor tyrosine kinase inhibitor
PRT062607	PRT062607	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	SYK non-receptor tyrosine kinase inhibitor
Ruxolitinib	RUXOLITINIB	Non-receptor tyrosine kinase inhibitors	Non-receptor tyrosine kinase inhibitors	JAK1/JAK2 non-receptor tyrosine kinase inhibitor
123138	123138	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
123829	123829	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
150412	150412	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
50869	50869	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
615590	615590	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
630600	630600	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
667880	667880	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
720427	720427	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
729189	729189	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
741909	741909	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
743380	743380	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
765771	765771	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
776928	776928	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
Acetalax	ACETALAX	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
BEN	BEN	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
BIBR-1532	BIBR-1532	Other	Other	Granular target/pathway: TERT; Genome integrity
BPD-00008900	BPD-00008900	Other	Other	Other/unclassified mechanism; GDSC target: not listed; pathway: Other
EHT-1864	EHT-1864	Other	Other	Granular target/pathway: RAC1, RAC2, RAC3; Cytoskeleton
Elephantin	ELEPHANTIN	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
Gallibiscoquinazole	GALLIBISCOQUINAZOLE	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
L-Oxonoreleagnine	L-OXONORELEAGNINE	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
LMB_AB1	LMB_AB1	Other	Other	Other/unclassified mechanism; GDSC target: ADRA1A, ADRB1; pathway: Other
LY2109761	LY2109761	Other	Other	Other/unclassified mechanism; GDSC target: TGFB1; pathway: Other
N25720-51-A1	N25720-51-A1	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
N27922-53-1	N27922-53-1	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
N29087-69-1	N29087-69-1	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
N30652-18-1	N30652-18-1	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
Schweinfurthin A	SCHWEINFURTHIN A	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
Telomerase Inhibitor IX	TELOMERASE INHIBITOR IX	Other	Other	Granular target/pathway: Telomerase; Genome integrity
Tretinoin	TRETINOIN	Other	Other	Differentiation therapy / retinoic acid receptor agonist; not in requested class list
VTP-A	VTP-A	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
VTP-B	VTP-B	Other	Other	Unclassified GDSC screening compound; manual mechanism lookup recommended
YK-4-279	YK-4-279	Other	Other	Other/unclassified mechanism; GDSC target: RNA helicase A; pathway: Other
Zoledronate	ZOLEDRONATE	Other	Other	Bisphosphonate / bone microenvironment supportive anticancer agent; not in requested class list
MIRA-1	MIRA-1	p53/MDM2 pathway	p53/MDM2 pathway	p53-reactivating compound / p53 pathway modulator
Nutlin-3a (-)	NUTLIN-3A (-)	p53/MDM2 pathway	p53/MDM2 pathway	MDM2 antagonist; p53 pathway activator
P22077	P22077	p53/MDM2 pathway	p53/MDM2 pathway	USP7/USP47 deubiquitinase inhibitor affecting MDM2-p53 axis
PRIMA-1MET	PRIMA-1MET	p53/MDM2 pathway	p53/MDM2 pathway	APR-246/eprenetapopt; mutant p53 reactivator / p53 pathway modulator
Serdemetan	SERDEMETAN	p53/MDM2 pathway	p53/MDM2 pathway	MDM2 antagonist / p53-MDM2 pathway inhibitor
ABT737	ABT737	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
AZD5582	AZD5582	Proapoptotic agents	Proapoptotic agents	IAP/survivin apoptosis-pathway inhibitor
AZD5991	AZD5991	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
IAP_5620	IAP_5620	Proapoptotic agents	Proapoptotic agents	IAP/survivin apoptosis-pathway inhibitor
LCL161	LCL161	Proapoptotic agents	Proapoptotic agents	IAP/survivin apoptosis-pathway inhibitor
MIM1	MIM1	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
Navitoclax	NAVITOCLAX	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
Obatoclax Mesylate	OBATOCLAX MESYLATE	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
Sabutoclax	SABUTOCLAX	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
Sepantronium bromide	SEPANTRONIUM BROMIDE	Proapoptotic agents	Proapoptotic agents	IAP/survivin apoptosis-pathway inhibitor
TW 37	TW 37	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
UMI-77	UMI-77	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
Venetoclax	VENETOCLAX	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
WEHI-539	WEHI-539	Proapoptotic agents	Proapoptotic agents	BCL2-family apoptosis antagonist/BH3 mimetic-like compound
Afatinib	AFATINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
Axitinib	AXITINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	VEGFR/PDGFR/KIT receptor tyrosine kinase inhibitor
AZD1332	AZD1332	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	NTRK1/NTRK2/NTRK3 receptor tyrosine kinase inhibitor
AZD3759	AZD3759	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
AZD4547	AZD4547	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	FGFR receptor tyrosine kinase inhibitor
BMS-536924	BMS-536924	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	IGF1R/insulin receptor tyrosine kinase inhibitor
BMS-754807	BMS-754807	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	IGF1R/insulin receptor tyrosine kinase inhibitor
Cediranib	CEDIRANIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	VEGFR/FLT/KIT/PDGFR receptor tyrosine kinase inhibitor
Crizotinib	CRIZOTINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	MET/ALK/ROS1 receptor tyrosine kinase inhibitor
Erlotinib	ERLOTINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
Foretinib	FORETINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	MET/VEGFR/PDGFR/FGFR/EGFR multi-receptor tyrosine kinase inhibitor
Gefitinib	GEFITINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
GSK1904529A	GSK1904529A	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	IGF1R/insulin receptor tyrosine kinase inhibitor
GW441756	GW441756	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	NTRK1 receptor tyrosine kinase inhibitor
IGF1R_3801	IGF1R_3801	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	IGF1R receptor tyrosine kinase inhibitor
Lapatinib	LAPATINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
Lestaurtinib	LESTAURTINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	Multi-kinase inhibitor: FLT3/NTRK receptor kinases plus JAK2 non-receptor tyrosine kinase
Linsitinib	LINSITINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	IGF1R receptor tyrosine kinase inhibitor
Motesanib	MOTESANIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	VEGFR/RET/KIT/PDGFR receptor tyrosine kinase inhibitor
NVP-ADW742	NVP-ADW742	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	IGF1R receptor tyrosine kinase inhibitor
Osimertinib	OSIMERTINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
PD173074	PD173074	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	FGFR receptor tyrosine kinase inhibitor
Sapitinib	SAPITINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	EGFR/ERBB receptor tyrosine kinase inhibitor
Savolitinib	SAVOLITINIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	MET receptor tyrosine kinase inhibitor
Sorafenib	SORAFENIB	Receptor tyrosine kinase inhibitors	Receptor tyrosine kinase inhibitors	Multi-kinase inhibitor: VEGFR/PDGFR/KIT receptor kinases plus RAF Ser/Thr kinases
Afuresertib	AFURESERTIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT1/2/3 Ser/Thr kinase inhibitor
Alisertib	ALISERTIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Aurora kinase/mitotic kinase inhibitor
Alpelisib	ALPELISIB	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	PI3K-alpha lipid kinase inhibitor; grouped with PI3K/AKT/mTOR Ser/Thr signaling axis
AT13148	AT13148	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT/AGC-family Ser/Thr kinase inhibitor
AZD1208	AZD1208	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: PIM1, PIM2, PIM3; Other, kinases
AZD2014	AZD2014	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	mTORC1/mTORC2 Ser/Thr kinase inhibitor
AZD5363	AZD5363	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	AKT inhibitor
AZD5438	AZD5438	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	CDK/cell-cycle kinase inhibitor
AZD8055	AZD8055	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	mTORC1/mTORC2 Ser/Thr kinase inhibitor
BDP-00009066	BDP-00009066	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Granular target/pathway: MRCKB_HUMAN; Cytoskeleton
BI-2536	BI-2536	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	PLK/cell-cycle kinase inhibitor
BMS-345541	BMS-345541	Serine/threonine kinase inhibitors	Serine/threonine kinase inhibitors	Other/unclassified mechanism; GDSC target: IKK-1, IKK-2; pathway: Other
