group	n
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Anthracyclines; Antibiotics, Antineoplastic; Topoisomerase II Inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Antimitotic Agents; Cytotoxic medicines	2
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Cytotoxic medicines	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Dermatologic Agents; Keratolytic Agents; Retinoids; Targeted therapies	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; MEK inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	2
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Janus Kinase Inhibitors; JAK Inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Tyrosine Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Signal Transduction Inhibitors; PARP Inhibitors	2
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Topoisomerase I Inhibitors; Cytotoxic medicines	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Estrogen Antagonists; Hormones and antihormones	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Platinum Compounds; Cytotoxic medicines	1
Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Proteasome Inhibitors; Targeted therapies	1
Breast Feeding; Lactation; Milk, Human; Immunosuppressive Agents	1
Cytotoxic	5
CYTOTOXIC	17
EPIGENETICS AND TRANSCRIPTION	27
HORMONES AND ANTIHORMONES	1
IMMUNOSUPPRESSIVE AGENTS	1
MetabolicInhibitor	2
Signaling	20
SIGNALING	57
	102
