drug	drug_key	legacy_group_used_for_enrichment	approved_final_category_id	approved_final_display_label	include_in_enrichment	included_in_enrichment	exclusion_reason_code	low_count_filter_status	category_changed	evidence_summary
AMG-319	AMG-319	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: PI3K (beta sparing)
ascorbate (vitamin C)	ASCORBATE (VITAMIN C)		METABOLISM	Metabolism	TRUE	TRUE		retained		GDSC pathway: Other; target: anti-oxidant proteins
AT13148	AT13148	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: AKT1
Avagacestat	AVAGACESTAT		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: "Amyloid beta20, Amyloid beta40"
Axitinib	AXITINIB	TYROSINE KINASE INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: RTK signaling; target: "PDGFR, KIT, VEGFR"
AZ6102	AZ6102		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: WNT signaling; target: "TNKS1, TNKS2"
AZ960	AZ960	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: "JAK2, JAK3"
AZD1208	AZD1208	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: "PIM1, PIM2, PIM3"
AZD1332	AZD1332		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: RTK signaling; target: "NTRK1, NTRK2, NTRK3"
AZD2014	AZD2014	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "mTORC1, mTORC2"
AZD3759	AZD3759	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: EGFR signaling; target: EGFR
AZD4547	AZD4547	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "FGFR1, FGFR2, FGFR3"
AZD5153	AZD5153	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: BRD4
AZD5363	AZD5363	PROTEIN KINASE INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: "Other, kinases"; target: "AKT1, AKT2, AKT3, ROCK2"
AZD5438	AZD5438	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: CDK2
AZD5582	AZD5582	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "XIAP, cIAP"
AZD5991	AZD5991	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: MCL1
AZD6482	AZD6482	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: PI3Kbeta
AZD6738	AZD6738	SIGNALING	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: Genome integrity; target: ATR
AZD7762	AZD7762	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "CHEK1, CHEK2"
AZD8055	AZD8055	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "MTORC1, MTORC2"
AZD8186	AZD8186	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "PI3Kalpha, PI3Kbeta"
BDF00022089a	BDF00022089A		EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained		GDSC pathway: Chromatin histone acetylation; target: "BRPF1, BRPF2, BRPF3"
BDILV000379a	BDILV000379A		EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained		GDSC pathway: Chromatin histone acetylation; target: "BAZ2A, BAZ2B"
BDOCA000347a	BDOCA000347A		EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained		GDSC pathway: Chromatin histone acetylation; target: "BRPF1, BRPF2, BRPF3"
BDP-00009066	BDP-00009066		CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained		GDSC pathway: Cytoskeleton; target: MRCKB_HUMAN
BEN	BEN		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
BI-2536	BI-2536		CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained		GDSC pathway: Cell cycle; target: "PLK1, PLK2, PLK3"
BIBR-1532	BIBR-1532		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: TERT
Bicalutamide	BICALUTAMIDE	HORMONES AND ANTIHORMONES	HORMONE_RELATED	Hormone related	TRUE	TRUE		retained	TRUE	GDSC pathway: Hormone-related; target: AR
Bleomycin	BLEOMYCIN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: dsDNA break induction
Bleomycin (50 uM)	BLEOMYCIN (50 UM)		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: DNA replication; target: dsDNA break induction
BMS-345541	BMS-345541	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: "IKK-1, IKK-2"
BMS-536924	BMS-536924	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"
BMS-754807	BMS-754807	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"
Bortezomib	BORTEZOMIB	SIGNALING	PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained	TRUE	GDSC pathway: Protein stability and degradation; target: Proteasome
Bosutinib	BOSUTINIB	TYROSINE KINASE INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: "Other, kinases"; target: "SRC, ABL, TEC"
BPD-00008900	BPD-00008900		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: 
Bromosporine	BROMOSPORINE	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: "CECR2, BRD2, BRD4, BRD9"
Buparlisib	BUPARLISIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma"
BX795	BX795		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: "TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC"
Camptothecin	CAMPTOTHECIN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: TOP1
CCT-018159	CCT-018159		PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained		GDSC pathway: Protein stability and degradation; target: HSP90
CCT007093	CCT007093		CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained		GDSC pathway: Cell cycle; target: PPM1D
CDK9_5038	CDK9_5038	EPIGENETICS AND TRANSCRIPTION	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: CDK9
CDK9_5576	CDK9_5576	EPIGENETICS AND TRANSCRIPTION	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: CDK9
Cediranib	CEDIRANIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB"
CHIR-99021	CHIR-99021		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: WNT signaling; target: "GSK3A, GSK3B"
Cisplatin	CISPLATIN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: DNA crosslinker
CPI-637	CPI-637	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: EP300
Crizotinib	CRIZOTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "MET, ALK, ROS1"
CT7033-2	CT7033-2		EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained		GDSC pathway: Chromatin histone methylation; target: "KDM4A, KDM4C, KDM4E, KDM3A, KDM6B"
Cyclophosphamide	CYCLOPHOSPHAMIDE	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: Alkylating agent
Cytarabine	CYTARABINE	CYTOTOXIC	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: Antimetabolite
CZC24832	CZC24832		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: PI3K/MTOR signaling; target: PI3Kgamma
Dabrafenib	DABRAFENIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: BRAF
Dacarbazine	DACARBAZINE	CYTOTOXIC	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: CP11A
Dactinomycin	DACTINOMYCIN	CYTOTOXIC	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: RNA polymerase
Dactolisib	DACTOLISIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "PI3K (class 1), MTORC1, MTORC2"
Daporinad	DAPORINAD		METABOLISM	Metabolism	TRUE	TRUE		retained		GDSC pathway: Metabolism; target: NAMPT
Dasatinib	DASATINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: "ABL, SRC, Ephrins, PDGFR, KIT"
Dihydrorotenone	DIHYDROROTENONE		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Dinaciclib	DINACICLIB	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cell cycle; target: "CDK1, CDK2, CDK5, CDK9"
Docetaxel	DOCETAXEL	CYTOTOXIC	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Mitosis; target: Microtubule stabiliser
Doramapimod	DORAMAPIMOD	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: JNK and p38 signaling; target: "p38, JNK2"
Eg5_9814	EG5_9814		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: KSP11
EHT-1864	EHT-1864		CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained		GDSC pathway: Cytoskeleton; target: "RAC1, RAC2, RAC3"
Elephantin	ELEPHANTIN		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Elesclomol	ELESCLOMOL	SIGNALING	PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained	TRUE	GDSC pathway: Protein stability and degradation; target: HSP90
Entinostat	ENTINOSTAT	SIGNALING	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone acetylation; target: "HDAC1, HDAC3"
Entospletinib	ENTOSPLETINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: SYK
Epirubicin	EPIRUBICIN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: Anthracycline
EPZ004777	EPZ004777	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: DOT1L
EPZ5676	EPZ5676	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: DOT1L
ERK_2440	ERK_2440	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: "ERK1,ERK2"
ERK_6604	ERK_6604		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: ERK MAPK signaling; target: "ERK1,ERK2"
Erlotinib	ERLOTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: EGFR signaling; target: EGFR
Fludarabine	FLUDARABINE	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: Antimetabolite
Foretinib	FORETINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: RTK signaling; target: "MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR"
Fulvestrant	FULVESTRANT	ESTROGEN RECEPTOR ANTAGONISTS	HORMONE_RELATED	Hormone related	TRUE	TRUE		retained	TRUE	GDSC pathway: Hormone-related; target: ESR
Gallibiscoquinazole	GALLIBISCOQUINAZOLE		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
GDC0810	GDC0810	HORMONES AND ANTIHORMONES	HORMONE_RELATED	Hormone related	TRUE	TRUE		retained	TRUE	GDSC pathway: Hormone-related; target: "ESR1, ESR2"
Gefitinib	GEFITINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: EGFR signaling; target: EGFR
Gemcitabine	GEMCITABINE	CYTOTOXIC	METABOLISM	Metabolism	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: Pyrimidine antimetabolite
glutathione	GLUTATHIONE	METABOLICINHIBITOR	METABOLISM	Metabolism	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: anti-oxidant proteins
GNE-317	GNE-317	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: PI3Kalpha
GSK-LSD1	GSK-LSD1	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: KDM1
GSK-LSD1-2HCl 	GSK-LSD1-2HCL	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: LSD1
GSK1904529A	GSK1904529A	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: IGF1R signaling; target: "IGF1R, IR"
GSK2110183B	GSK2110183B		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT2, AKT3"
GSK2256098C	GSK2256098C		CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained		GDSC pathway: Cytoskeleton; target: FAK1
GSK2276186C	GSK2276186C		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: "JAK1, JAK2, JAK3"
GSK2578215A	GSK2578215A		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: LRRK2
GSK2606414	GSK2606414	SIGNALING	METABOLISM	Metabolism	TRUE	TRUE		retained	TRUE	GDSC pathway: Metabolism; target: PERK
GSK269962A	GSK269962A	SIGNALING	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	TRUE	TRUE		retained	TRUE	GDSC pathway: Cytoskeleton; target: "ROCK1, ROCK2"
GSK2801	GSK2801	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: 
GSK2830371	GSK2830371	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: WIP1
GSK2830371A	GSK2830371A	SIGNALING	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: PPM1D
GSK3337463A	GSK3337463A		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: "Other, kinases"; target: NIK
GSK343	GSK343	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: EZH2
GSK591	GSK591	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin histone methylation; target: PMRT5
GSK626616AC	GSK626616AC	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: DYRK1A
GW441756	GW441756		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: RTK signaling; target: NTRK1
HKMTI-1-005	HKMTI-1-005	EPIGENETICS AND TRANSCRIPTION	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Unclassified; target: 
I-BET-762	I-BET-762	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: "BRD2, BRD3, BRD4"
I-BRD9	I-BRD9	EPIGENETICS AND TRANSCRIPTION	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: BRD9
IAP_5620	IAP_5620		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: IAP
Ibrutinib	IBRUTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: BTK
ICL-SIRT078	ICL-SIRT078	EPIGENETICS AND TRANSCRIPTION	OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained	TRUE	GDSC pathway: Other; target: SIR2
IGF1R_3801	IGF1R_3801	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: IGF1R signaling; target: IGFR1
IOX2	IOX2		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: EGLN1
Ipatasertib	IPATASERTIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT, AKT3"
IRAK4_4710	IRAK4_4710	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: IRAK4
Irinotecan	IRINOTECAN	CYTOTOXIC	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: TOP1
IWP-2	IWP-2		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: WNT signaling; target: PORCN
JAK_8517	JAK_8517	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: "JAK1, JAK2"
JAK1_8709	JAK1_8709	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: JAK1
JNK Inhibitor VIII	JNK INHIBITOR VIII		SIGNALING	Signaling	TRUE	TRUE		retained		GDSC pathway: JNK and p38 signaling; target: JNK
JQ1	JQ1	IMMUNOSUPPRESSIVE AGENTS	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE	TRUE		retained	TRUE	GDSC pathway: Chromatin other; target: "BRD2, BRD3, BRD4, BRDT"
KRAS (G12C) Inhibitor-12	KRAS (G12C) INHIBITOR-12	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: ERK MAPK signaling; target: KRAS (G12C)
KU-55933	KU-55933		GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE	TRUE		retained		GDSC pathway: Genome integrity; target: ATM
L-Oxonoreleagnine	L-OXONORELEAGNINE		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: 
Lapatinib	LAPATINIB	TYROSINE KINASE INHIBITORS	SIGNALING	Signaling	TRUE	TRUE		retained	TRUE	GDSC pathway: EGFR signaling; target: "EGFR, ERBB2"
LCL161	LCL161	CYTOTOXIC	APOPTOSIS	Apoptosis regulation	TRUE	TRUE		retained	TRUE	GDSC pathway: Apoptosis regulation; target: "XIAP, IAP1, IAP2"
Leflunomide	LEFLUNOMIDE	SIGNALING	METABOLISM	Metabolism	TRUE	TRUE		retained	TRUE	GDSC pathway: DNA replication; target: Pyrimidine synthesis inhibitor
Lenalidomide	LENALIDOMIDE	IMMUNOSUPPRESSIVE AGENTS	PROTEIN_DEGRADATION	Protein stability and degradation	TRUE	TRUE		retained	TRUE	GDSC pathway: Protein stability and degradation; target: CRBN
Lestaurtinib	LESTAURTINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: "Other, kinases"; target: "FLT3, JAK2, NTRK1, NTRK2, NTRK3"
LGK974	LGK974	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: WNT signaling; target: PORCN
Linsitinib	LINSITINIB	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: IGF1R signaling; target: IGF1R
LJI308	LJI308	SIGNALING	SIGNALING	Signaling	TRUE	TRUE		retained	FALSE	GDSC pathway: PI3K/MTOR signaling; target: "RSK2, RSK1, RSK3"
LMB_AB1	LMB_AB1		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: "ADRA1A, ADRB1"
LMB_AB2	LMB_AB2		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Unclassified; target: GADD34
LMB_AB3	LMB_AB3		OTHER_REVIEWED	Other reviewed	TRUE	TRUE		retained		GDSC pathway: Other; target: PPP1R15B
