key	value
gene_set_membership_sha256	f328f21f45aec19a1e1b4d17bbd50dd80408404fdcd0cda7376d3653a14ecc1d
gene_set_min_size	15
gene_set_max_size	500
expression_filter	CPM > 1 in at least 14 retained sample-bin observations
normalization	TMM
observation_model	voom
mouse_block	duplicateCorrelation
nuisance_terms	dose_mg_factor,initial_ploidy_factor
treatment_by_pseudotime_interaction	false
empirical_bayes	robust
contrast	mean(primary grid) - 0.5 * mean(left grid) - 0.5 * mean(right grid)
gsea_rank_statistic	moderated_t
gsea_nperm_simple	10000
gsea_nperm_simple_max	1000000
gsea_nperm_simple_multiplier	10
gsea_nperm_simple_usage	10000:4824,100000:47
gsea_adaptive_retry_rule	retry only unresolved pathways at geometric nPermSimple increments; merge by pathway; recompute collection-wide BH; fail closed at cap
pathway_activity	row-standardize fitted expression per leading-edge gene, then average genes
feature_species_policy_id	grch_human_tumor_only_v2
feature_species_policy	Retain exact GRCh38-prefixed counts and exclude exact GRCm39-prefixed counts before pseudobulk construction, expression filtering, model fitting, symbol cleanup, duplicate resolution, and Homo sapiens GSEA; reject unrecognized feature prefixes.
human_feature_prefix	GRCh38-
mouse_feature_prefix	GRCm39-
unknown_feature_policy	reject
n_input_features	72302
n_human_features_retained	38606
n_mouse_features_excluded	33696
n_ambiguous_features	0
feature_species_audit_sha256	3c8ac2b642db6e380e9a81deb18f18235cf42b10aa8aa19c4081a36f86f38b2c
feature_species_policy_code_sha256	9c4461e6c826472c6c24dd820758a41033f3cae861e1404cec56d0fe49abbd3c
gsea_ranking_rule	one row per cleaned gene symbol; descending moderated t; ties retain cleaned-symbol order
pathway_selection_fdr_threshold	0.05
pathway_selection_rule	BH-adjusted P <= 0.05; up to top four per sign and collection
activity_table_sha256	9913d66a911275fe5c347a6048e0eabc39ec57ff8298eedb18b4b4f4c43c7932
panel_7F_pathway_activity_plot_data_sha256	9913d66a911275fe5c347a6048e0eabc39ec57ff8298eedb18b4b4f4c43c7932
panel_7F_selected_pathway_gsea_sha256	39a1e243725b70f7d8dd907584a5d6f5049d3e84149678b11f985783178a99f0
panel_7F_leading_edge_genes_sha256	18346c2efe9a584c945963fb83d1169238cf8c98b30fe8b01603c9d9e56b710f
state_pathway_gene_ranking_complete_sha256	eec9a01d187e3d6fff5d2a83ac9971140404548fce7c488bb0fe631aa5902e15
state_pathway_gsea_complete_sha256	639d79ce9d9116d4c93fc2a5108a8973dd8e7416f826de29c92479e5445912df
state_pathway_sample_bin_coverage_sha256	0ef5470eca70272bacdbbd0d416b21a9ad4f9e448ac172cad4ba06cb7f2719aa
state_pathway_design_qc_sha256	8c039ed4ec4e986f2e5f917a88dfade395556b17c31132d889fbbf3a83b44ce6
figure7_config_sha256	da5e2ddc4192769421caad56a47ac1ca583f659e177336a7ab8dd44065c986a0
figure7_config_contract_sha256	55c209172cb1bd4bb74feb1e0e480e77ab58400253e414c664bdb36d350af02c
generated_reference_id	state_pathway_grch_human_only_initial_ploidy_day17_v3_candidate
workflow_id	binning
model_id	initial_ploidy_adjusted_grch_human_only_v3
accumulated_interval	[0.30,0.49]
left_neighbor_interval	[0.11,0.30)
right_neighbor_interval	(0.49,0.68]
recorded_cell_metadata_locator	Data/in-vivo/figure7/processed/CellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
recorded_noncell_metadata_locator	Data/in-vivo/figure7/processed/NonCellCycleCells_pseudotime_distribution_per_sample_cell_level_with_ploidy_dose_tgi.csv
recorded_seurat_rds_locator	external:integrated_sct_cca_seurat_final_reclustered.rds
msigdbr_package_version	26.1.0
fgsea_package_version	1.34.2
source_activity_sha256	db61e2a4746363f72c98dc12ae5a7e26f437a217d3c78b370c9bfcebcabfb156
source_primary_gsea_sha256	c74699eb0ccb04334eca1737e570defe2e13d1c69ce7f2d7036e4d22f025fb72
source_leading_edge_sha256	906ddca6d8b298ecbdaab3cbd9e1f1925a5c0d2c6052ad272f7f297a59f2e1c2
source_gene_contrast_sha256	8b6a09a5a46aa5df97b4de2ab1d812d4065c494f61d6f07d65003b321ec7c9fb
source_gene_resolution_sha256	0e8a881076421f3a315de9ba501a52c21a5c967f9966e6f04c10309c03925dc4
source_sample_bin_metadata_sha256	498acf26bc561085b923e11f58387d6bea0d581c5f66af4b983a5bbf5b2c2d8d
source_design_audit_sha256	af86277c379c9084a6330218f469fb682f7533977c3537b7b2927034b6ccc9a4
source_primary_coverage_sha256	9fecc5339a86cf2e072dccfb05358580fc0db25fd3a8e9f71af301a8ea423141
